P_AccountNumber,P_Password,P_R_Account,P_Amount
IQ10732,welcome,IQ10982,5000
IQ10733,welcome,IQ10981,1000
IQ10734,welcome,IQ10980,6000
IQ10735,welcome,IQ10978,10000
IQ10736,welcome,IQ10976,5000
IQ10737,welcome,IQ10975,1000
IQ10738,welcome,IQ10974,6000
IQ10739,welcome,IQ10973,10000
IQ10740,welcome,IQ10972,5000
IQ10741,welcome,IQ10971,1000
IQ10742,welcome,IQ10970,6000
IQ10743,welcome,IQ10969,10000
IQ10744,welcome,IQ10968,5000
IQ10745,welcome,IQ10967,1000
IQ10746,welcome,IQ10950,6000
IQ10748,welcome,IQ10949,10000
IQ10750,welcome,IQ10948,5000
IQ10751,welcome,IQ10947,1000
IQ10753,welcome,IQ10946,6000
IQ10754,welcome,IQ10945,10000
IQ10755,welcome,IQ10944,5000
IQ10757,welcome,IQ10943,1000
IQ10758,welcome,IQ10942,6000
IQ10760,welcome,IQ10941,10000
IQ10761,welcome,IQ10940,5000
IQ10762,welcome,IQ10939,1000
IQ10763,welcome,IQ10938,6000
IQ10764,welcome,IQ10937,10000
IQ10765,welcome,IQ10936,5000
IQ10766,welcome,IQ10935,1000
IQ10767,welcome,IQ10934,6000
IQ10768,welcome,IQ10933,10000
IQ10769,welcome,IQ10932,5000
IQ10770,welcome,IQ10931,1000
IQ10771,welcome,IQ10930,6000
IQ10772,welcome,IQ10929,10000
IQ10773,welcome,IQ10928,5000
IQ10774,welcome,IQ10927,1000
IQ10775,welcome,IQ10926,6000
IQ10776,welcome,IQ10925,10000
IQ10777,welcome,IQ10924,5000
IQ10778,welcome,IQ10923,1000
IQ10779,welcome,IQ10922,6000
IQ10780,welcome,IQ10921,10000
IQ10781,welcome,IQ10920,5000
IQ10782,welcome,IQ10919,1000
IQ10783,welcome,IQ10918,6000
IQ10784,welcome,IQ10917,10000
IQ10785,welcome,IQ10916,5000
IQ10786,welcome,IQ10915,1000
IQ10787,welcome,IQ10914,6000
IQ10788,welcome,IQ10913,10000
IQ10789,welcome,IQ10912,5000
IQ10790,welcome,IQ10911,1000
IQ10791,welcome,IQ10910,6000
IQ10792,welcome,IQ10909,10000
IQ10793,welcome,IQ10908,5000
IQ10794,welcome,IQ10907,1000
IQ10795,welcome,IQ10906,6000
IQ10796,welcome,IQ10905,10000
IQ10797,welcome,IQ10904,5000
IQ10798,welcome,IQ10903,1000
IQ10799,welcome,IQ10902,6000
IQ10800,welcome,IQ10901,10000
IQ10801,welcome,IQ10900,5000
IQ10802,welcome,IQ10899,1000
IQ10803,welcome,IQ10898,6000
IQ10804,welcome,IQ10897,10000
IQ10805,welcome,IQ10896,5000
IQ10806,welcome,IQ10895,1000
IQ10807,welcome,IQ10894,6000
IQ10808,welcome,IQ10893,10000
IQ10809,welcome,IQ10892,5000
IQ10810,welcome,IQ10891,1000
IQ10811,welcome,IQ10890,6000
IQ10812,welcome,IQ10889,10000
IQ10813,welcome,IQ10888,5000
IQ10814,welcome,IQ10887,1000
IQ10815,welcome,IQ10886,6000
IQ10816,welcome,IQ10885,10000
IQ10817,welcome,IQ10884,5000
IQ10818,welcome,IQ10883,1000
IQ10819,welcome,IQ10882,6000
IQ10820,welcome,IQ10881,10000
IQ10821,welcome,IQ10880,5000
IQ10822,welcome,IQ10879,1000
IQ10823,welcome,IQ10878,6000
IQ10824,welcome,IQ10877,10000
IQ10825,welcome,IQ10876,5000
IQ10826,welcome,IQ10875,1000
IQ10827,welcome,IQ10874,6000
IQ10828,welcome,IQ10873,10000
IQ10829,welcome,IQ10871,5000
IQ10830,welcome,IQ10869,1000
IQ10831,welcome,IQ10867,6000
IQ10832,welcome,IQ10866,10000
IQ10833,welcome,IQ10865,5000
IQ10834,welcome,IQ10863,1000
IQ10835,welcome,IQ10862,6000
IQ10836,welcome,IQ10861,10000
IQ10837,welcome,IQ10860,5000
IQ10838,welcome,IQ10859,1000
IQ10839,welcome,IQ10858,6000
IQ10840,welcome,IQ10857,10000
IQ10841,welcome,IQ10856,5000
IQ10842,welcome,IQ10855,1000
IQ10843,welcome,IQ10854,6000
IQ10844,welcome,IQ10853,10000
IQ10845,welcome,IQ10852,5000
IQ10846,welcome,IQ10851,1000
IQ10847,welcome,IQ10850,6000
IQ10848,welcome,IQ10849,10000
IQ10849,welcome,IQ10848,5000
IQ10850,welcome,IQ10847,1000
IQ10851,welcome,IQ10846,6000
IQ10852,welcome,IQ10845,10000
IQ10853,welcome,IQ10844,5000
IQ10854,welcome,IQ10843,1000
IQ10855,welcome,IQ10842,6000
IQ10856,welcome,IQ10841,10000
IQ10857,welcome,IQ10840,5000
IQ10858,welcome,IQ10839,1000
IQ10859,welcome,IQ10838,6000
IQ10860,welcome,IQ10837,10000
IQ10861,welcome,IQ10836,5000
IQ10862,welcome,IQ10835,1000
IQ10863,welcome,IQ10834,6000
IQ10865,welcome,IQ10833,10000
IQ10866,welcome,IQ10832,5000
IQ10867,welcome,IQ10831,1000
IQ10869,welcome,IQ10830,6000
IQ10871,welcome,IQ10829,10000
IQ10873,welcome,IQ10828,5000
IQ10874,welcome,IQ10827,1000
IQ10875,welcome,IQ10826,6000
IQ10876,welcome,IQ10825,10000
IQ10877,welcome,IQ10824,5000
IQ10878,welcome,IQ10823,1000
IQ10879,welcome,IQ10822,6000
IQ10880,welcome,IQ10821,10000
IQ10881,welcome,IQ10820,5000
IQ10882,welcome,IQ10819,1000
IQ10883,welcome,IQ10818,6000
IQ10884,welcome,IQ10817,10000
IQ10885,welcome,IQ10816,5000
IQ10886,welcome,IQ10815,1000
IQ10887,welcome,IQ10814,6000
IQ10888,welcome,IQ10813,10000
IQ10889,welcome,IQ10812,5000
IQ10890,welcome,IQ10811,1000
IQ10891,welcome,IQ10810,6000
IQ10892,welcome,IQ10809,10000
IQ10893,welcome,IQ10808,5000
IQ10894,welcome,IQ10807,1000
IQ10895,welcome,IQ10806,6000
IQ10896,welcome,IQ10805,10000
IQ10897,welcome,IQ10804,5000
IQ10898,welcome,IQ10803,1000
IQ10899,welcome,IQ10802,6000
IQ10900,welcome,IQ10801,10000
IQ10901,welcome,IQ10800,5000
IQ10902,welcome,IQ10799,1000
IQ10903,welcome,IQ10798,6000
IQ10904,welcome,IQ10797,10000
IQ10905,welcome,IQ10796,5000
IQ10906,welcome,IQ10795,1000
IQ10907,welcome,IQ10794,6000
IQ10908,welcome,IQ10793,10000
IQ10909,welcome,IQ10792,5000
IQ10910,welcome,IQ10791,1000
IQ10911,welcome,IQ10790,6000
IQ10912,welcome,IQ10789,10000
IQ10913,welcome,IQ10788,5000
IQ10914,welcome,IQ10787,1000
IQ10915,welcome,IQ10786,6000
IQ10916,welcome,IQ10785,10000
IQ10917,welcome,IQ10784,5000
IQ10918,welcome,IQ10783,1000
IQ10919,welcome,IQ10782,6000
IQ10920,welcome,IQ10781,10000
IQ10921,welcome,IQ10780,5000
IQ10922,welcome,IQ10779,1000
IQ10923,welcome,IQ10778,6000
IQ10924,welcome,IQ10777,10000
IQ10925,welcome,IQ10776,5000
IQ10926,welcome,IQ10775,1000
IQ10927,welcome,IQ10774,6000
IQ10928,welcome,IQ10773,10000
IQ10929,welcome,IQ10772,5000
IQ10930,welcome,IQ10771,1000
IQ10931,welcome,IQ10770,6000
IQ10932,welcome,IQ10769,10000
IQ10933,welcome,IQ10768,5000
IQ10934,welcome,IQ10767,1000
IQ10935,welcome,IQ10766,6000
IQ10936,welcome,IQ10765,10000
IQ10937,welcome,IQ10764,5000
IQ10938,welcome,IQ10763,1000
IQ10939,welcome,IQ10762,6000
IQ10940,welcome,IQ10761,10000
IQ10941,welcome,IQ10760,5000
IQ10942,welcome,IQ10758,1000
IQ10943,welcome,IQ10757,6000
IQ10944,welcome,IQ10755,10000
IQ10945,welcome,IQ10754,5000
IQ10946,welcome,IQ10753,1000
IQ10947,welcome,IQ10751,6000
IQ10948,welcome,IQ10750,10000
IQ10949,welcome,IQ10748,5000
IQ10950,welcome,IQ10746,1000
IQ10967,welcome,IQ10745,6000
IQ10968,welcome,IQ10744,10000
IQ10969,welcome,IQ10743,5000
IQ10970,welcome,IQ10742,1000
IQ10971,welcome,IQ10741,6000
IQ10972,welcome,IQ10740,10000
IQ10973,welcome,IQ10739,5000
IQ10974,welcome,IQ10738,1000
IQ10975,welcome,IQ10737,6000
IQ10976,welcome,IQ10736,10000
IQ10978,welcome,IQ10735,5000
IQ10980,welcome,IQ10734,1000
IQ10981,welcome,IQ10733,6000
IQ10982,welcome,IQ10732,10000
IQ10983,welcome,IQ10731,5000
IQ10985,welcome,IQ10730,1000
IQ10986,welcome,IQ10729,6000
IQ10987,welcome,IQ10728,10000
IQ10988,welcome,IQ10727,5000
IQ10990,welcome,IQ10726,1000
IQ10991,welcome,IQ10725,6000
IQ10992,welcome,IQ10724,10000
IQ10993,welcome,IQ10723,5000
IQ10994,welcome,IQ10722,1000
IQ10995,welcome,IQ10721,6000
IQ10997,welcome,IQ10720,10000
IQ10998,welcome,IQ10719,5000
IQ10999,welcome,IQ10718,1000
IQ11000,welcome,IQ10717,6000
IQ11001,welcome,IQ10716,10000
IQ11003,welcome,IQ10715,5000
IQ11004,welcome,IQ10714,1000
IQ11005,welcome,IQ10713,6000
IQ11006,welcome,IQ10712,10000
IQ11007,welcome,IQ10711,5000
IQ11008,welcome,IQ10710,1000
IQ11009,welcome,IQ10709,6000
IQ11010,welcome,IQ10708,10000
IQ11011,welcome,IQ10707,5000
